,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
0,A. Anguissa,2.0,25.0,184.0,78.0,2.3333333333333335,20.0,67879,0.554,0.1288,0.0129,0.0,0.0,22.1875,0.2706,3.2985,1.2112,0.1417,0.8504,3.4402,1.6621,1.4431,1.1467,0.5283,0.7473,0.1804,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,1.4044,0.9277,0.4767,0.2577,0.5927,77.6111
1,A. Belotti,4.0,27.0,181.0,72.0,5.25,32.0,740918,2.8168,1.0538,0.4432,0.0,0.0985,12.3211,0.9554,4.0184,0.4629,0.0985,0.2659,12.3211,5.6829,1.9304,0.9947,2.8562,1.7039,0.1083,0.0,0.0,0.0394,0.0,0.0985,0.0295,0.0,1.0538,0.9947,0.0591,0.0689,0.0689,101.5333
2,A. Christensen,3.0,24.0,188.0,78.0,6.0,24.0,601838,0.3802,0.0613,0.0,0.0,0.0123,58.0175,0.1717,13.4528,1.0301,0.3802,1.3367,6.4627,4.194,0.1594,0.1594,0.5641,0.5886,0.0981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.116,1.0056,0.1104,0.1839,0.7603,81.5444
3,A. Correa,4.0,25.0,171.0,70.0,7.0,32.0,652886,1.9736,0.8442,0.2282,0.0,0.2168,23.4897,1.5287,9.1609,0.7758,0.1141,0.9355,12.5833,5.0082,4.4378,2.544,1.6086,1.6542,0.2738,0.0114,0.0114,0.0114,0.0114,0.0,0.0,0.0,1.5515,0.9697,0.5818,0.6731,0.616,87.6556
4,A. Di MarÃ­a,2.0,32.0,180.0,75.0,4.833333333333333,32.0,11513791,3.0823,1.1138,0.4705,0.0,0.3745,32.2437,2.2277,6.1453,0.4321,0.048,0.4225,4.3785,1.738,3.2455,1.6804,0.6433,0.4225,0.096,0.0,0.0,0.0096,0.0192,0.0096,0.0096,0.0,1.2003,1.0754,0.1248,0.5857,0.2401,104.1444
5,A. DoucourÃ©,2.0,27.0,184.0,75.0,4.666666666666667,20.0,46206,1.5438,0.4384,0.1525,0.0,0.1048,46.3437,1.1245,4.6792,1.9632,0.2287,1.1341,10.216,4.8507,1.5724,1.0388,0.5146,1.2198,0.2668,0.0,0.0,0.0,0.0191,0.0,0.0,0.0,1.0388,1.0006,0.0381,0.1048,0.0381,104.9333
6,A. Golovin,2.0,24.0,180.0,69.0,4.666666666666667,20.0,11440,1.7539,0.6715,0.1403,0.0,0.1203,35.1882,1.4733,6.6347,0.8218,0.0501,1.0223,7.8675,3.7884,2.1648,1.5134,1.8441,1.5635,0.2706,0.01,0.01,0.0,0.0,0.0,0.01,0.0,1.1024,1.0323,0.0702,0.3408,0.0702,99.7778
7,A. Griezmann,4.0,29.0,176.0,73.0,6.666666666666667,96.0,30243196,2.6247,1.2356,0.5249,0.0,0.2261,29.607,1.5183,6.7839,0.4684,0.0323,0.4119,6.5174,2.8912,1.3083,0.7188,1.0499,0.6057,0.1696,0.0,0.0081,0.0162,0.0,0.0485,0.0,0.0,1.1064,1.0418,0.0646,0.3634,0.0969,123.8222
8,A. Grimaldo,3.0,25.0,171.0,67.0,5.090909090909091,28.0,453600,1.007,0.3492,0.065,0.0,0.1868,41.5566,1.4862,5.2545,1.2426,0.1056,1.2913,6.4727,3.5652,2.1197,1.2994,0.8852,0.5198,0.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152,1.007,0.0081,0.0893,0.0081,123.1333
9,A. Hakimi,3.0,22.0,179.0,65.0,7.111111111111111,54.0,3118407,1.0298,0.3961,0.1848,0.0,0.2376,54.9216,1.0166,9.8357,1.2806,0.0792,1.109,6.5219,3.4722,3.4986,2.086,1.4919,0.6865,0.1056,0.0,0.0,0.0132,0.0,0.0,0.0,0.0,1.109,0.9638,0.1452,0.1584,0.4225,75.7444
10,A. Harit,2.0,23.0,180.0,67.0,6.714285714285714,24.0,1019540,1.2031,0.5363,0.1594,0.0,0.1305,29.483,1.7104,8.3347,0.4204,0.0145,0.6088,9.7697,5.1892,4.363,2.4642,3.5368,0.9277,0.1305,0.0,0.0,0.1015,0.0,0.0435,0.0,0.0,1.2756,1.0002,0.2754,0.4928,0.4638,68.9889
11,A. Iwobi,2.0,24.0,180.0,75.0,6.384615384615385,25.5,2393,2.1299,0.9481,0.1429,0.0,0.2078,42.8831,2.1169,12.4156,1.3377,0.1169,0.5844,10.4156,4.5974,3.961,2.4026,0.7143,0.6364,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4416,1.013,0.4286,0.6753,0.7013,77.0
